Chave,Tipo de item,Resumo,Projeto,Unidade de Negócio,Status,Prioridade,Criado,Resolvido_Piloto,Atualizado(a),SLA_Horas_Resolucao,HorasResolucao_Calculated,CumpriuSLA_Resolucao_Calculated,SLA_Violado_Calculated,SLA_Horas_Primeira_Resposta,HorasPrimeiraResposta_Original,CumpriuSLA_PrimeiraResposta_Calculated,Is_Open,Aging_Horas,Em_Risco,Status_Categoria,LeadTime_Horas,Mes_Criacao,Ano_Criacao,Tempo até a primeira resposta,Tempo de resolução,SLA,Primeira Resposta
AS-12,Incidente,BUG Google Analytics -> Envio dos eventos de maneira duplicada,Axia - Suporte,Tribo 2,Concluído,Medium,2024-04-29 14:10:00,,2024-05-06 14:21:00,16.0,,Pendente,N/A,8.0,-71.91666666666667,Sim,False,,Não,Fechado,,2024-04-30 00:00:00,2024,"-2 days, 23:55:00","-2 days, 23:55:00",Violado,Violado
AS-13,Incidente,"BUG PE - Corrigir o gerenciamento de estado na busca de simulações salvas, quando o usuário interage com os filtros",Axia - Suporte,Tribo 2,Concluído,Medium,2024-06-26 13:38:00,,2024-06-26 13:41:00,16.0,,Pendente,N/A,8.0,7.983333333333333,Sim,False,,Não,Fechado,,2024-06-30 00:00:00,2024,7:59:00,7:59:00,Atingido,Atingido
AS-14,Incidente,Workshop AI_Strategy - Axia Agro  [In-person],Axia - Suporte,Tribo 2,Concluído,Medium,2024-08-30 18:26:00,,2024-09-02 11:25:00,16.0,,Pendente,N/A,8.0,8.0,Sim,False,,Não,Fechado,,2024-08-31 00:00:00,2024,8:00:00,8:00:00,Atingido,Atingido
AS-15,Incidente,BUG Visitas - Campos opcionais sendo tratados como obrigatórios e problema na seleção de imagens,Axia - Suporte,Tribo 2,Concluído,Highest,2024-12-12 15:03:00,,2025-01-10 10:55:00,4.0,,Pendente,N/A,2.0,-173.16666666666666,Sim,False,,Não,Fechado,,2024-12-31 00:00:00,2024,"-7 days, 5:10:00","-7 days, 5:10:00",Violado,Violado
AS-5,Incidente,BUGs inseridos no front na última melhoria do protocolo de nutrição,Axia - Suporte,Tribo 2,Concluído,High,2023-11-30 10:51:00,,2024-01-11 12:02:00,6.0,,Pendente,N/A,3.0,-286.26666666666665,Sim,False,,Não,Fechado,,2023-11-30 00:00:00,2023,"-11 days, 22:16:00","-11 days, 22:16:00",Violado,Violado
CN-101,Bug Legado,"Valores de viagem calculando 0,00",Continental - Suporte,Tribo 1,Encerrado,Lowest,2024-11-07 12:35:00,2025-02-27 14:00:00,2025-02-27 14:00:00,40.0,2689.4166666666665,Não,Sim,20.0,18.1,Sim,False,,Não,Fechado,2689.4166666666665,2024-11-30 00:00:00,2024,18:06:00,18:06:00,Atingido,Atingido
CN-105,Incidente,"Sistema não está permitindo fazer viagem de outra localidade, mesmo colocando justificativa.",Continental - Suporte,Tribo 1,Concluído,Lowest,2024-12-12 10:53:00,2025-02-19 22:48:00,2025-02-19 22:48:00,40.0,1667.9166666666667,Não,Sim,20.0,24.0,Não,False,,Não,Fechado,1667.9166666666667,2024-12-31 00:00:00,2024,"1 day, 0:00:00","1 day, 0:00:00",Atingido,Atingido
CN-106,Problema,Acesso negado na ferramenta de apontamento de horas,Continental - Suporte,Tribo 1,Concluído,Medium,2024-12-13 14:34:00,2024-12-13 17:32:00,2024-12-13 17:32:00,16.0,2.966666666666667,Sim,Não,8.0,11.983333333333333,Não,False,,Não,Fechado,2.966666666666667,2024-12-31 00:00:00,2024,11:59:00,11:59:00,Atingido,Atingido
CN-107,Bug,Problema de autenticação ao baixar arquivo de horas,Continental - Suporte,Tribo 1,Concluído,Medium,2024-12-20 12:12:00,2025-01-16 13:11:00,2025-01-16 13:11:00,16.0,648.9833333333333,Não,Sim,8.0,11.966666666666667,Não,False,,Não,Fechado,648.9833333333333,2024-12-31 00:00:00,2024,11:58:00,11:58:00,Atingido,Atingido
CN-109,Incidente,Verificação de erro no acesso ao site SGPM,Continental - Suporte,Tribo 1,Concluído,Lowest,2025-01-03 09:23:00,2025-01-03 14:04:00,2025-01-03 14:04:00,40.0,4.683333333333334,Sim,Não,20.0,23.983333333333334,Não,False,,Não,Fechado,4.683333333333334,2025-01-31 00:00:00,2025,23:59:00,23:59:00,Atingido,Atingido
